date,date_comment,end_time,category,comment
2014-11-03,,00:00,dummy,
,,08:00,sleep,
,,08:15,reading_online,
,,08:30,morning_routine,
,,08:50,exercise_routine,
,,09:07,breakfast,
,,09:30,morning_routine,
,,10:28,writing,
,,12:40,reading_nonfiction,
,,13:07,lunch_at_home,
,,13:20,transit,
,,13:38,emails,
,,14:04,overhead,
,,19:00,homework,
,,20:00,dinner_out_by_myself,
,,20:08,transit,
,,20:44,shopping,
,,21:16,shopping,
,,21:32,snack,
,,22:10,reading_online,
,,22:50,reading_fiction,
,,23:04,evening_routine,
,,23:40,stretches,
2014-11-04,,08:00,sleep,
,,08:20,morning_routine,
,,08:42,exercise_routine,
,,08:55,breakfast,
,,09:19,morning_routine,
,,10:45,introspection,
,,10:55,emails,
,,12:30,class,
,,13:25,lunch_social,
,,13:48,emails,
,,16:00,homework,
,,16:51,bureaucracy,
,,19:03,homework,
,,19:19,transit,
,,19:32,emails,
,,20:07,dinner_at_home,
,,23:40,reading_papers,
,,23:55,evening_routine,
2014-11-05,,00:10,stretches,
,,07:20,sleep,
,,08:00,reading_online,
,,08:30,morning_routine,
,,08:45,breakfast,
,,09:00,transit,
,,09:55,advisor_meeting,
,,10:12,overhead,
,,13:12,homework,
,,14:45,group_meeting,
,,14:56,overhead,
,,18:50,homework,
,,19:00,transit,
,,20:40,attend_talk,
,,20:58,transit,
,,21:38,reading_papers,
,,21:50,snack,
,,22:48,photography,
,,23:06,side_projects,
,,23:18,evening_routine,
,,23:56,stretches,
2014-11-06,,08:00,sleep,
,,08:32,reading_online,
,,08:47,morning_routine,
,,09:08,exercise_routine,
,,09:23,breakfast,
,,09:53,morning_routine,
,,10:07,planning,
,,10:55,grocery_trip,
,,11:05,transit,
,,12:30,class,
,,13:18,lunch_social,
,,17:52,homework,
,,18:07,side_projects,
,,18:20,transit,
,,19:43,reading_papers,
,,21:29,dinner_with_prep,
,,23:22,reading_nonfiction,
,,23:39,evening_routine,
2014-11-07,,00:06,stretches,
,,07:40,sleep,
,,08:10,reading_online,
,,08:21,morning_routine,
,,08:45,exercise_routine,
